"dataset","method","split_id","price","highway.mpg","city.mpg","peak.rpm","horsepower","compression.ratio","stroke","bore","fuel.system","engine.size","num.of.cylinders","engine.type","curb.weight","height","width","length","wheel.base","engine.location","drive.wheels","body.style","num.of.doors","aspiration","fuel.type","make","normalized.losses"
"automobile","uni_loo",1,9.93967700359536e-06,-0.00398690719366031,-0.0190023544294901,0.000682166785375469,0.00568893910670472,-0.0666261561254826,-0.117525818041902,-0.349302678829007,0.0774358350565625,0.000955640785743605,0.0127594419870703,0.00511006289308164,-0.000272250304662507,-0.278902091968675,-0.0484420699089458,-0.0279095452415909,-0.0949781199184531,2.22772277227723,0.127488855869242,-0.880165289256198,-0.839992583175816,-0.241463414634146,0.991304347826088,-0.0208297823275214,0.0184769295052353
"automobile","uni_loo",2,-8.84957167504791e-06,0.00924566416552671,-0.00473431317128321,0.00072348615867484,0.0023345561290485,-0.0645458623777926,-0.264871702241135,-0.273504101578194,0.0242415549021013,-0.000910768588203083,-0.0169985429820301,0.214105458892284,-0.000462167699800798,-0.275379643427176,-0.117721918094295,-0.0372770000560425,-0.112521674180587,2.3,0.0136603539273517,-0.766924125397547,-0.793035513414104,-0.218694885361552,0.936956521739131,-0.040383704405495,0.0203047341385534
"automobile","uni_loo",3,-1.12885077833766e-05,0.00725355601160572,-0.00740395533997154,0.000682783773868232,0.000762711289189485,-0.0579998442857609,-0.691867805787514,-0.957899120392443,0.0468720771759173,-0.00356231104090509,-0.0840289678810326,0.0617325825927686,-0.000629367528565607,-0.263414142325357,-0.150790110959488,-0.0389807133995733,-0.115836662281109,2.32,-0.0831533477321814,-0.91075327510917,-0.912028985507246,-0.813492063492063,0.915217391304349,-0.0338134950720243,0.0193670681203245
"automobile","uni_loo",4,-4.67468213336704e-06,0.000238435860753427,-0.0210035586008993,0.000954081637788808,0.00355817996133168,-0.0586751539873003,-0.082425497466756,-0.169740796552162,0.0907490279509941,-0.00310977300318332,-0.163507109004739,-0.0632468668026814,-0.000571755470969466,-0.259453750230178,-0.149867266937804,-0.0372859258581471,-0.113236578985371,2.25,0.0669605952052912,-0.877282491944146,-0.804586333891822,-0.388235294117648,0.837662337662337,-0.0419897214643741,0.018108831244637
"automobile","uni_loo",5,-1.87870988212543e-05,0.018467884172118,-0.000766087844739531,0.00100667442114929,0.00203589196214536,-0.0623351613848536,-0.0118180718364924,-0.430780109126011,0.0390820268120882,-0.00499536763485776,-0.282126168224299,0.126930693069307,-0.000660220514230935,-0.295337791993796,-0.152785494390174,-0.0439771839168136,-0.121395621197141,2.2,-0.0996884735202498,-0.790748898678414,-0.767409099081109,-0.102292768959435,0.934782608695653,-0.0250330622947144,0.0164595489530035
"automobile","uni_loo",6,-1.10987845887663e-05,0.021858284612514,0.0134209349952699,0.000652048463112211,0.000993239725621826,-0.0621976686671856,-0.173420786769889,-0.801970679664029,0.0127388535031848,-0.0023847342587055,-0.0533990992923012,-0.0563118811881185,-0.0005026683599365,-0.211000712315756,-0.151610664865852,-0.0307028645477897,-0.0906321912139451,2.35,-0.215138083873167,-0.722510618216139,-0.72262685324438,-0.273303741280913,0.882608695652175,-0.0294397745493416,0.0156145188939405
"automobile","uni_loo",7,-1.86847131838007e-05,0.0153500935299625,0.00518776820497945,0.000512096435677274,-0.000556353134237091,-0.0321073388875724,0.0197961563663527,-0.685521372978591,-0.0259237187127533,-0.00362207239219979,-0.117455896007428,0.117158092848181,-0.000500535574578575,-0.258355421786426,-0.0721317700373808,-0.0287134911399355,-0.0829710856051731,0,0.0698540825830492,-0.803497942386831,-0.730079054433168,-0.649709302325582,0.620379620379621,-0.0130751241686601,0.0163987756266711
"automobile","uni_loo",8,-2.34945261356822e-05,0.0232149176338045,0.0138767115430313,0.000672850880913067,-0.000227358027290234,-0.0491880398560936,-0.146279603139338,-0.759759232194037,0.0272377380834896,-0.00253614829020078,-0.0676945314382079,0.147776809067132,-0.000562735255482419,-0.232856266456594,-0.142263791021974,-0.0338257656726335,-0.107298058208692,2.16831683168317,-0.136760426770127,-0.71194407617211,-0.748824451410658,-0.789473684210526,0.777777777777778,-0.0232530452188018,0.0129114948085954
"automobile","uni_loo",9,2.14491935221866e-06,-0.0137147115623472,-0.0224933842987356,0.000497052367533047,0.00363676158139909,-0.0458659322878123,-0.583847507980901,-0.126405767628677,0.145109135004042,-0.00106702095549459,-0.0814627081824768,0.2365308804205,-0.000221700706553381,-0.274105692845233,-0.015649466559794,-0.0308169130526369,-0.109346175582306,2.04950495049505,0.382930513595165,-0.88265306122449,-0.836170212765957,0.236763236763236,0.735338345864661,0.00750308889814344,0.0214039865706974
"automobile","uni_loo",10,-2.91639561206405e-05,0.0233108677501031,0.0101200452615727,0.000860451044874986,-0.000200112855689449,-0.0285012206816482,-0.156784930230319,-0.9175040571577,-0.048377581120944,-0.00567156762129052,-0.196120840019536,0.140778852124546,-0.000690295476859334,-0.237959341310745,-0.16476118392224,-0.0320299136025434,-0.101269279703631,2.22772277227723,-0.122019635343619,-0.966327474560592,-0.820159687854032,-0.31764705882353,0.547826086956523,-0.0174839273594286,0.0206630778583449
