"dataset","method","split_id","year","month","day","hour","DEWP","TEMP","PRES","cbwd","Iws","Is","Ir"
"beijing_pm2.5","uni_loo",1,-0.383679601497817,-0.725061515035838,0.911273842852833,-0.392034379811927,1.11141928653897,-0.639206457952949,-0.448220876319439,-5.15929580184561,-0.466278850264458,2.16857191419975,-3.30291903565539
"beijing_pm2.5","uni_loo",2,-1.14756274469927,-0.648232215882451,0.842434780732802,-0.216902557316335,1.11085135020866,-0.64958892402767,-0.401718876943217,-5.17339264971612,-0.46364850246987,3.10586394937287,-3.15387568627912
"beijing_pm2.5","uni_loo",3,-1.18883515155776,-0.574942639712763,0.806567374767412,-0.266801742651006,1.08293112763694,-0.675749615053692,-0.409727912492424,-5.40655315008408,-0.456738077508758,2.14523393711527,-3.33242041299225
"beijing_pm2.5","uni_loo",4,-0.761706563451073,-0.665259699555992,0.893013478507831,-0.294556990915038,1.04009872209688,-0.730874794496867,-0.35070628110808,-5.86376001822133,-0.463257506917012,1.79650536282677,-3.27591488237571
"beijing_pm2.5","uni_loo",5,-1.03322335575334,-0.770310337317866,0.9462882095849,-0.336606403307954,1.02659913425937,-0.818694820294782,-0.336084585762592,-5.07724186336112,-0.454243164196831,2.95978669122779,-3.30193396309778
"beijing_pm2.5","uni_loo",6,-1.58219782885966,-0.659918527203502,0.86326850023257,-0.268341561595113,1.12214703420271,-0.656129933116436,-0.442366272791149,-4.94294151890847,-0.458975472754864,1.83901170934531,-3.15027572761288
"beijing_pm2.5","uni_loo",7,-0.699541610722246,-0.592062066893982,0.886520014055054,-0.298729996399243,1.07441526644747,-0.686524194447817,-0.394016431601028,-4.72173365186398,-0.448769408765203,2.89207358304941,-3.38323550833195
"beijing_pm2.5","uni_loo",8,-0.815241099327402,-0.658669698236954,0.897829157728025,-0.370726782676153,1.11831092254081,-0.704749296116541,-0.460145705988894,-5.23949801589501,-0.454277420232944,2.5426376943016,-3.36820599194599
"beijing_pm2.5","uni_loo",9,-0.928629751570987,-0.747890923377347,0.857909398416942,-0.273769462548783,1.02535996040302,-0.781384188413033,-0.358527564867423,-5.79641161530822,-0.465261538297151,2.93534671447417,-3.24456384135199
"beijing_pm2.5","uni_loo",10,-1.58186520185,-0.419922576979805,0.937566025414138,-0.212823890239784,1.1039874233059,-0.665429120612837,-0.440473111068411,-4.60868906441693,-0.471380328793257,2.33487881512939,-3.5399054448635
"beijing_pm2.5","uni_loo",11,-1.10504674434715,-0.825218968868164,0.849098448245389,-0.373259784542384,1.12074639135503,-0.641720296667736,-0.475974801426044,-4.31403058994483,-0.442422024760326,1.39491840554254,-3.12217483625586
"beijing_pm2.5","uni_loo",12,-1.11834593516119,-0.54694967441474,0.85725715199782,-0.203960201839435,1.11810114402005,-0.678930243643691,-0.429512459409232,-5.46264815515132,-0.453367494117835,2.42393974687299,-3.42965250515106
"beijing_pm2.5","uni_loo",13,-1.16449780989118,-0.50838496012899,0.779408205664469,-0.394307314758708,1.06855789994564,-0.695861206729458,-0.368807097582185,-5.44285007479293,-0.451668039038896,1.9500982049095,-3.18747991192571
