"dataset","method","split_id","dteday","season","yr","mnth","hr","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed"
"bike_sharing","uni_loo",1,0.235781882985531,28.5412157578781,88.9537387748381,6.46686507266692,10.0950355567141,-33.0410163092593,3.0831002966667,12.7527242229497,-38.1509525121129,368.86433537136,408.688861807405,-294.262205860048,141.833277039999
"bike_sharing","uni_loo",2,0.241664173930354,30.7038664204353,90.2841183444342,6.74793180154846,10.0577941552992,-37.0706686195605,3.40028132794051,12.8202680637735,-43.752702976768,380.951338329584,422.315139293668,-299.830846514815,131.786547001365
"bike_sharing","uni_loo",3,0.230127714516315,28.2687367882301,86.7521178519517,6.24112159313449,10.243260843217,-32.4631787144592,2.55013162334808,11.165705566089,-41.3211932261294,375.584642523662,415.493409915228,-301.554685870824,142.228009188945
"bike_sharing","uni_loo",4,0.24448690966306,28.5034636031052,92.513668399682,6.24540753264643,10.4204985267729,-22.1523139953178,1.86144123612921,8.29322804306689,-43.059778042034,381.508235508321,420.830078897669,-306.881808726362,142.54365241845
"bike_sharing","uni_loo",5,0.23193900183885,31.5569808106114,86.0452198255358,6.73871230393104,10.248163458005,-30.8955117904965,1.18985127894054,6.01171297877347,-41.6875235847519,381.786663050557,422.92203392268,-303.690978054832,149.550624877249
"bike_sharing","uni_loo",6,0.24070444315687,28.9956607958288,90.5463961290815,6.21183925277901,10.2975019091606,-44.9680558843256,0.79323766298428,5.17403916790221,-38.6958561472758,381.815869543226,423.774787268804,-303.969022423077,158.899162586757
"bike_sharing","uni_loo",7,0.225127091704952,27.9260340806459,85.2288448239651,5.84165940034433,10.36141874782,-31.1664398270839,2.67890115890746,8.60256224482591,-37.9304723291472,376.38261107551,417.717799204855,-297.280984239223,152.739163644652
"bike_sharing","uni_loo",8,0.232962413303642,29.2144908948834,89.3693200391852,5.95931240197537,10.2047619484678,-36.2851679829665,1.56095086056496,15.3388876262645,-42.4464229427252,382.873644164059,426.305420207025,-301.603118778153,128.984012698221
"bike_sharing","uni_loo",9,0.243445608313923,30.3105570444377,90.7377567015029,6.74479420693944,10.4050065254497,-34.7773233795473,3.57181370762036,13.5294295614037,-39.4666379572749,376.879892837358,417.618403727259,-301.687986848553,140.842062592124
"bike_sharing","uni_loo",10,0.244652825628777,30.3448711393499,93.2553857829722,6.33771662694204,10.5306704130099,-35.2308557886005,2.47113211849359,18.4458346532857,-40.4856144228821,382.244362338612,424.066803531491,-307.807431192921,145.217101989027
"bike_sharing","uni_loo",11,0.245869795000323,29.9010981793544,93.261175365215,6.26404278214946,10.5218216584898,-36.778083407276,2.40173886349726,10.5615867004628,-41.0817407691974,385.18739119913,425.98386358331,-300.644486888242,128.612311890522
"bike_sharing","uni_loo",12,0.239551121398709,28.2550748725967,90.4473114587489,6.0107521707211,10.26362838365,-45.249919234876,3.23072983463642,13.6829106382043,-42.5966556626255,389.740532933135,431.76808721524,-310.634004918566,147.879868252149
"bike_sharing","uni_loo",13,0.234333960472463,26.5493664358308,88.317847875837,5.8316023703479,10.2779753456233,-18.7631914315387,2.64073285596716,8.10812587380061,-37.6775719128219,377.73527645165,416.919242825277,-304.034002766071,137.717086985263
"bike_sharing","uni_loo",14,0.245689132262787,28.6721519228812,93.5895651169531,6.19647625891102,10.6051378626326,-32.4287883391614,3.48366937470588,11.9880476320675,-43.9817143374868,393.598362410939,438.081973045824,-301.760202891542,131.036876810474
"bike_sharing","uni_loo",15,0.244097053473635,29.997819843037,92.621917526468,6.42307641453005,10.2598761937243,-32.9126839944356,3.08926524132585,16.3984839896857,-39.2564575807003,389.365986837024,432.411892632098,-306.477474434002,145.112788393484
"bike_sharing","uni_loo",16,0.246820876072907,29.5792816375249,94.5275921538354,6.55748203425846,10.3530591369554,-33.3963619987814,0.986843202683757,8.73048974308162,-40.7242665567253,388.270787169398,431.563877771696,-299.98435058242,150.016335850657
"bike_sharing","uni_loo",17,0.253294864174031,31.246868495452,95.6451425867701,6.82743684267933,10.2656011286876,-30.7254504753509,2.49156226560439,9.9660070710216,-40.513499137527,387.40578853552,430.137333997191,-303.874933905677,143.917418722512
"bike_sharing","uni_loo",18,0.230737755634869,29.107959090634,86.6807195472441,6.52941449258476,10.3048698589499,-38.2467753630515,2.36385950822727,9.87785381683473,-37.7996765622745,378.906464464616,421.768261238686,-301.771287798597,130.139818580847
"bike_sharing","uni_loo",19,0.233276714369757,29.7358876158792,87.2708254192793,6.61798494336925,10.3579317385122,-43.8752111430002,3.05377377918127,8.26028397116453,-42.0898573290642,384.816431888169,428.740050501265,-305.816423700318,120.592019788011
"bike_sharing","uni_loo",20,0.23870404168607,29.3542310245961,90.2192908688493,6.47893310545215,10.541744324149,-28.0272927306763,2.20722074580234,14.3117920931107,-38.8829313500855,382.847071099171,424.459599661545,-300.773807335289,150.610990846593
"bike_sharing","uni_loo",21,0.244158807874987,28.4258343196227,94.362701206172,6.00495761384951,10.5557573224119,-24.1659646616078,2.09680476482776,10.2748242658972,-41.9079317188508,387.184436126985,430.419050078564,-309.967277031502,167.647951158946
"bike_sharing","uni_loo",22,0.249141736168442,29.7347859671353,94.1383983878398,6.5191506447271,10.5894538989469,-31.8683110674636,3.61991229144957,11.6120713511673,-40.2479919285898,382.442330000325,424.986251955031,-308.935109384451,137.568438480902
"bike_sharing","uni_loo",23,0.233127643336082,27.826508086276,89.2388000691756,6.02267258134199,10.3746624690439,-13.4154894996926,2.12163836467519,10.8661812087593,-42.5955107350111,376.665110139944,416.392105783278,-296.939532179572,124.068815200936
"bike_sharing","uni_loo",24,0.25031273053557,29.2625557329527,95.537391138486,6.50185476679597,10.4516007332856,-30.5586231369765,2.93783185757154,10.2502717580541,-40.8252990889578,391.891088945985,430.718823178675,-304.828776467658,142.100005838637
"bike_sharing","uni_loo",25,0.23099461391647,28.0552515613788,87.2040460803924,6.20437917869525,9.96262607387254,-39.7008996984763,3.33293176034551,7.57638811067696,-39.6275547506052,377.21551933636,418.594805666785,-305.773095886946,151.000193653041
"bike_sharing","uni_loo",26,0.237169795567999,29.1576915507666,89.2609350013512,6.55496297566279,10.3013786211109,-37.7655647922513,2.17363521706309,14.5762437397835,-43.2677403244784,379.395626213991,419.552011138912,-311.015043330008,118.642567585131
"bike_sharing","uni_loo",27,0.253422788256151,30.8904958278193,95.2964472184402,7.16841199448,10.1937441268544,-34.6405719981436,2.78899388338831,8.39856183587223,-39.5745342251925,371.856051946938,412.053028948918,-291.148409740649,136.292440610163
"bike_sharing","uni_loo",28,0.230314866945496,27.6509012513812,88.8127498354829,5.7613118530253,10.1292507969473,-36.1857379634109,2.73240012565762,12.414000973452,-39.0823782443446,375.923463393526,415.463221367403,-305.344555747265,141.734244004289
"bike_sharing","uni_loo",29,0.236727907118089,30.2929843323789,88.6360964289185,6.696564689213,10.238517642071,-25.317505148363,2.05069675037738,9.79762097331791,-38.05304962549,383.776264361447,426.116050591582,-297.166063764941,120.277983036404
"bike_sharing","uni_loo",30,0.253983802610443,30.5365434623653,95.5635019723371,6.71500394307787,10.7640720424037,-16.1298887725426,2.00337375695922,9.90119689214611,-42.1315290439351,393.838074453879,434.370873863109,-312.593208265237,139.069748398259
"bike_sharing","uni_loo",31,0.238572467197622,29.14635063195,91.5382463143264,6.2111486199785,10.3055099237669,-35.2490122291161,4.08734652688472,11.0466578661431,-38.6793964440913,381.641782713337,424.389551369455,-312.204059969397,146.160894037305
"bike_sharing","uni_loo",32,0.237914919555005,27.8366589220472,90.5186743543643,6.24351616468632,10.2607110165106,-43.7924212380262,1.87849113463787,12.5427505494322,-39.7762425891598,378.702006782388,418.353245144559,-296.435165880881,160.490466531438
"bike_sharing","uni_loo",33,0.245167284681196,27.6567309417918,94.2595949701149,6.03467472832352,10.4886280917641,-31.7416816129631,1.84321077710712,8.44134572186551,-37.2874643389852,382.350200228114,423.126418919558,-298.852132189663,143.682168981588
"bike_sharing","uni_loo",34,0.248243788315544,29.0913130633692,96.5500647737941,5.98600107392735,10.633563845205,-36.1022576134613,2.83248457289463,11.230310724195,-40.7303909227664,388.102362399773,430.445005802743,-311.552312082812,149.912996027877
"bike_sharing","uni_loo",35,0.238443992301981,28.8572631099607,90.0960243818696,6.4592674922754,10.4687525852235,-35.6248897311073,3.19272846558869,13.6669633137975,-41.0360892402529,385.592932735238,427.494366753994,-311.418668141592,140.344427736613
"bike_sharing","uni_loo",36,0.247778070913902,29.4057446016777,93.6289304857092,6.49001897750979,10.2422428338482,-31.281701981243,1.69164719699992,11.1338396442756,-41.0949526244077,375.470187001697,419.249742650047,-296.308225705931,119.925373273476
"bike_sharing","uni_loo",37,0.241205918527225,29.3136830710111,90.8577555358462,6.42033995138463,10.1698654631485,-38.645622467117,1.94858276707866,8.42270809681557,-40.91739311036,369.338090292895,410.702636110536,-296.167493393339,130.539300129505
"bike_sharing","uni_loo",38,0.244075199887088,29.4579178007612,93.120612830609,6.58959643092091,10.0199650715393,-26.1918831943306,3.0211330384302,15.4729274908887,-41.8062474576957,379.300828623463,421.330560345798,-304.439355810284,143.62311611873
"bike_sharing","uni_loo",39,0.234699172222724,30.4043222576788,88.4979619042532,6.2513574338232,10.2784437340159,-35.0910918285143,2.38204241854397,16.7950144142579,-43.923146936494,384.874468132393,426.00968198519,-309.632163144607,137.608616053589
"bike_sharing","uni_loo",40,0.242766551838724,31.7865731771921,90.1257255547331,7.02470379653364,10.4179311996505,-48.2837010244708,1.37493170695369,13.9775705102217,-38.9773897578267,384.532701111294,424.488643116138,-307.80985211932,138.930157116408
"bike_sharing","uni_loo",41,0.244363451761668,27.7737480386938,93.0381800788278,6.24251154155374,10.3030017950221,-32.6461958144725,3.41632883693733,9.41569049992202,-37.7418511952837,377.677688150315,419.041940886008,-303.184224677221,141.587852706376
"bike_sharing","uni_loo",42,0.243093539944914,29.7351607255008,91.4975615763181,6.490235415231,10.077658602957,-34.7355033478019,1.71826093153013,14.1809863124513,-44.0625456015507,386.203801385868,427.669185580251,-308.279639359023,146.386608752734
"bike_sharing","uni_loo",43,0.239045781790212,25.8197729062067,94.5580560401572,5.13137054521965,10.3589918573508,-37.8704808327746,2.97633044185697,10.1557291102066,-39.4186308069096,379.283376076935,422.873598357899,-304.749554369681,135.960117535334
"bike_sharing","uni_loo",44,0.236335598193171,30.4524482027453,89.250257202709,6.81721025213016,10.3108693663712,-28.2610644921162,0.796468063027244,14.9018368704782,-37.5151117550876,379.565825186099,421.560266089723,-286.009124209416,120.745924682047
"bike_sharing","uni_loo",45,0.236850539125358,28.8116903804052,88.842504092867,6.31880699587906,10.2367607842563,-42.7662346890438,2.67481225217494,15.7182091083845,-40.5832775193803,375.289690662787,416.781349627383,-296.299808847501,133.731954203881
"bike_sharing","uni_loo",46,0.239834840120321,28.6906164047083,89.2467311700794,6.67647341994748,10.4609866009883,-34.4934083375127,2.25956065151093,15.1984582650889,-38.2603578739312,383.68661281784,426.426368810888,-299.082609271218,131.424186942539
"bike_sharing","uni_loo",47,0.238577242186772,31.8063655041717,87.4368583284615,6.97729510488609,10.1008696563208,-31.1162917913269,1.63235884986079,13.9017990372491,-39.6670951588952,377.742545311391,419.32344708756,-291.201601117997,136.80401651936
"bike_sharing","uni_loo",48,0.245999918134564,29.030221322955,93.1722036974511,6.1589804120943,10.254976520686,-32.6450878769999,2.21060765988844,9.68969656044143,-36.1624384560799,391.425113655207,431.568415153081,-311.721796570921,144.320973102214
"bike_sharing","uni_loo",49,0.247011163744513,29.6273596150142,95.1041258904799,6.2911100259052,10.2843819473674,-41.5461566726565,2.41944309883666,6.51630314541314,-39.0873452515349,385.551057334855,428.068008503342,-302.145249012981,130.879173150198
"bike_sharing","uni_loo",50,0.242908015925863,30.2308511536467,90.4994507940968,6.65976588590164,10.7693861340812,-26.6292856135747,2.44696308634581,10.0032612923119,-43.5378670199992,383.196940725657,426.733644471915,-308.735037302419,151.976357801442
"bike_sharing","uni_loo",51,0.238938044994899,29.3094737585735,90.5348564010862,6.50994903654957,10.3677411479264,-34.3287604162931,2.75944044942966,19.1542994344136,-38.9793294013807,383.288857422035,425.476679519978,-307.721124690224,149.493076298956
"bike_sharing","uni_loo",52,0.242131452260198,28.5176751700411,92.2462515122112,6.13732454044969,10.1465306962671,-36.7345605700713,1.31428460235656,18.8257080461139,-35.4272342495709,378.042598219709,416.677355137052,-294.837348574196,147.724942172425
"bike_sharing","uni_loo",53,0.241101678462582,28.0349845003113,91.833535551231,6.06807565622056,10.5099746804919,-32.2970750812951,2.84127738596433,9.16528768069261,-38.3263384265228,384.588597404488,426.407314511958,-310.027603426813,135.898073926577
"bike_sharing","uni_loo",54,0.240739082636758,29.1228236934573,91.5282255150364,6.30552999547297,10.218486940309,-24.3136593325566,2.24989789686211,9.39472473065791,-43.4965471160768,391.500005610445,434.692825802611,-306.834977198882,138.49633347136
"bike_sharing","uni_loo",55,0.239198487407225,29.0686779297625,89.5511091272259,6.60872519141242,10.4891428934562,-37.8283795957041,1.93854626283174,11.0872067710505,-39.1006399360032,386.158228638086,429.410843328245,-305.897127951456,147.131866882378
"bike_sharing","uni_loo",56,0.233631459963637,29.2361796010989,88.7285348277384,6.14585064575257,10.5071194173272,-45.7298547914309,3.39957142088633,8.42893050599509,-39.1987557987003,391.624529745297,430.746784220201,-312.066758384089,139.834452645879
"bike_sharing","uni_loo",57,0.237487074364732,27.220569249968,93.7509790146435,5.51854142612861,10.2478237546251,-47.8839335260395,2.73874349329968,7.57098308241733,-43.4625674940408,383.410624223783,427.661456955045,-310.610360229792,160.7975825971
"bike_sharing","uni_loo",58,0.243228420817198,29.3248086233177,94.2112463858371,5.95794210308206,10.0924173168793,-37.2849181092888,2.11419758533189,11.0596386256143,-39.4906602416165,385.808875511096,428.251285173821,-296.508601621306,125.440305397633
"bike_sharing","uni_loo",59,0.236235953303455,29.8655333404147,88.6668730841087,6.40294309895298,10.3671920137176,-16.9271020068349,2.94491029080513,9.96998328516604,-40.8531419088696,382.738539810037,425.395623194589,-303.889648396826,134.676082457609
"bike_sharing","uni_loo",60,0.258962367672931,31.8846756107581,96.7110008021506,7.4138103313164,10.456003604885,-28.0480065452571,2.48438500323509,16.0512853167131,-39.4066246384274,384.41750472266,427.179968539675,-299.409023076239,105.422317937258
"bike_sharing","uni_loo",61,0.249257348154977,31.0921589631927,93.2476489141152,7.02112725076865,10.1880888254442,-31.9603389926689,2.12106726864187,7.84158490125728,-41.4339329377379,378.733155826989,420.770195986011,-316.152836276556,136.546401803304
"bike_sharing","uni_loo",62,0.240055432571444,29.6354349538039,89.4730623022805,6.65325882421914,10.1460580259126,-32.1252283925877,3.27215562801161,10.4829963780394,-39.6299942259415,368.592146593676,410.012968926437,-292.235572180598,158.07256861102
"bike_sharing","uni_loo",63,0.236170665302944,27.7520762222198,90.9833110700531,5.81839396997693,10.0252503688043,-18.658231070032,3.41979623874405,6.65634606537549,-43.6982519957384,390.193048918834,430.64525899237,-308.925070710478,150.689505773872
"bike_sharing","uni_loo",64,0.238663303091209,29.2935311954494,89.359187917909,6.57226802974464,10.3829783131921,-24.4277162764289,3.47492430775401,13.9635912130244,-41.691904058582,374.634828928051,415.94435961539,-306.72437198498,152.013694194001
"bike_sharing","uni_loo",65,0.246650491638605,28.4943397308045,93.9777604688253,6.05004477401243,10.4219578582158,-31.1415678515323,2.01750778898344,9.5060353418305,-44.9836948959909,380.79526868356,422.913513470127,-302.493627642814,144.862358735223
"bike_sharing","uni_loo",66,0.245263851386052,29.8412830475934,93.4053596534091,6.58521761862421,10.4661438779786,-39.4112846868358,3.66586103919101,13.796543931317,-43.9666687777361,386.171668533631,428.24841899864,-311.000210345347,146.022711375599
"bike_sharing","uni_loo",67,0.244198285049086,28.7440726235023,92.8984972293262,6.40573324207363,10.2679783536593,-30.2204115469021,1.87538061369364,7.75593405685064,-41.4315416936364,379.066064679387,417.909521661452,-310.785525928542,149.551972503939
"bike_sharing","uni_loo",68,0.250102696738764,31.4623187846129,94.7122844974886,6.9087820283178,10.6655279054965,-39.6825646032928,2.02304402954009,8.16135274563031,-41.1548158358577,387.847758164777,431.078637078977,-299.703068675748,136.452851436005
"bike_sharing","uni_loo",69,0.250296971494658,29.4717135093788,94.6603848379078,6.41327437786625,10.0964565187367,-34.6660337001974,2.27277333119074,11.7432788892598,-40.0203325750359,383.18591460134,426.009257507498,-297.032728697561,122.178221183939
"bike_sharing","uni_loo",70,0.233772229599156,27.2438151365695,90.7363456199279,5.74039764315352,10.2271057653724,-31.0114081729329,1.76316190655115,14.2519733105577,-41.4509748133917,376.293940967835,417.576317189512,-300.515760615818,126.808710695647
"bike_sharing","uni_loo",71,0.236929553967097,28.1960576573516,90.2132501442547,6.05288770605078,10.6119512041335,-33.8350416381871,3.73220013685781,9.4646964015565,-44.2509504485028,384.958548146754,428.643814155758,-317.134902843639,149.190264340968
"bike_sharing","uni_loo",72,0.254843497439881,29.6466503156564,97.8951231563432,6.56194587978035,10.3869303999917,-40.6692530633209,2.03564033510944,12.4581909588222,-41.389747124271,390.043354580935,433.159251803794,-319.90389102077,141.722547016562
"bike_sharing","uni_loo",73,0.231499940214567,29.7947726748484,85.6207891839422,6.52833305617111,10.4107906966102,-42.5087527492083,3.25863400212296,16.0034136391752,-38.3517219276762,387.226061113514,427.409688940004,-311.591362884738,133.473506547987
