"dataset","method","split_id","LATITUDE","LONGITUDE","LND_SQFOOT","TOT_LVG_AREA","SPEC_FEAT_VAL","RAIL_DIST","OCEAN_DIST","WATER_DIST","CNTR_DIST","SUBCNTR_DI","HWY_DIST","age","avno60plus_1","month_sold_2","month_sold_3","month_sold_4","month_sold_5","month_sold_6","month_sold_7","month_sold_8","month_sold_9","month_sold_10","month_sold_11","month_sold_12","structure_quality_2","structure_quality_3","structure_quality_4","structure_quality_5"
"miami_housing","uni_loo",1,119224.067916351,656676.820710229,18.2222105165107,254.072310760885,11.3218391973656,-3.87545084926994,-4.69675507071442,-3.1915661221637,-2.60420770107383,-5.17952950586972,10.8606128035669,-1881.34142328751,-75082.9279367346,-13398.5603332631,-7217.19295315432,8619.00713144004,8543.7287746864,27984.2225914867,-2681.89869058964,-344.779358092005,-12932.1598544037,2789.3120621171,12270.4493336353,-21565.4844899173,-184867.526195297,1296895.6305709,-31496.3648757,401714.991252694
"miami_housing","uni_loo",2,84222.2182683714,658242.441496101,18.8922684867417,257.324965992034,11.2834336976595,-4.51159074067741,-4.94897970257278,-3.24346999116542,-2.66917113726575,-5.36207154002066,11.9541321429629,-1856.02030630063,-57256.9111441733,-4069.38554196535,-18979.7869675335,-2446.29215134381,13550.2671512959,14757.1479419605,-3539.49989727748,-16108.9096510517,-3288.34730881893,1217.26698961178,18957.4130923241,-489.524119718309,-180051.940292675,1655828.4797282,-39141.2119792428,397630.030257393
"miami_housing","uni_loo",3,123386.967363953,745663.62233043,18.2530607424664,260.587325526651,11.6318515376235,-2.97992729988239,-5.09791810860306,-3.51353153543052,-2.67242806968409,-5.14737798702496,12.7607691166984,-1877.68715619773,-71565.5545073523,-16509.3982944887,-9606.12244234666,-1238.95064620623,33311.3860711205,15665.2626211233,4435.76577844648,-7558.32903926555,-12606.1758399043,-9004.59593921045,21476.9719964664,-9244.16363458528,-186586.128014438,1464380.05749605,-35836.2063973712,404852.409537431
"miami_housing","uni_loo",4,79060.7426544036,678325.587713875,19.2091138629786,262.173320958083,11.674869239262,-4.07048174404375,-5.1778326014841,-3.39730831493146,-2.7075354210102,-5.43793015559094,12.1023287174425,-1902.20568394072,-60225.6912202491,15307.7803718437,-9391.74072169917,-9495.52682057821,10478.6528390863,28876.7999492894,15119.5876452672,-6091.47084516189,-8895.04329426223,-11493.8959537572,2918.71686313277,-20000.1314522731,-187701.937862717,1324304.55972402,-42581.6194355382,403734.070156099
"miami_housing","uni_loo",5,83677.4975868484,661622.322545713,20.1303797764332,259.609998552536,11.3245304319567,-3.44817612659569,-4.97443018412913,-3.29596768473306,-2.68311366172634,-5.47766492374875,12.8342622537167,-1912.36278556111,-70516.7125081273,-29451.3731273387,5672.69251760563,8848.7085314009,7960.15045157825,32296.4699506917,-6507.00282752118,7193.96244207684,-12620.978200087,1542.63136490718,15269.4664585444,-15789.905461724,-186086.661976969,1404813.13459879,-40146.2318682019,400463.435514628
"miami_housing","uni_loo",6,122565.640551499,752874.863982365,19.0748376897439,264.474671811497,11.7322846873244,-4.42053189300034,-5.31234648081055,-3.64987263291639,-2.82660102074217,-5.48027566864519,12.5533055582154,-1865.02633092508,-52381.883556656,3663.36708330762,-21381.1790153429,-12972.4496919205,57271.6652024708,23330.0565266352,-1672.00063190586,-27828.8409007991,-15307.6484610831,-13534.3500262536,13206.1519731942,297.838202198063,-193516.671792126,1407991.3183386,-36000.5127066466,417490.035307238
"miami_housing","uni_loo",7,120671.854760345,664518.477218766,17.7096338112753,256.896789169455,11.0068594906507,-4.81231504829109,-4.67770700943556,-3.25498567218239,-2.64787105906231,-5.22561440113591,11.3515535494516,-1687.76661144784,-63443.7671611401,-4769.63943423348,10449.4651064532,-6035.99402293862,25808.3995526707,30085.9797676103,-11901.3857352175,-3386.06748369793,-23730.5458092036,6877.38359788356,2517.83775183291,-17906.8720335077,-180053.427606079,1652816.20071839,-31066.4142952601,388364.761306995
"miami_housing","uni_loo",8,110853.14077318,636619.067202877,19.4361043793567,254.894984958539,11.196728745412,-4.234569066075,-4.73907490650533,-3.21332228541589,-2.48006749439109,-4.92849733006702,11.9213677151694,-1965.76323506153,-53303.7369834349,-12858.0993517494,-7829.54512650701,3417.09440661585,24323.5966296839,15156.2863200138,-1620.98938285514,6758.28310728512,-16270.7834502409,-11115.823806126,2151.4319444003,-2692.45095191261,-176181.38122863,1494444.75143678,-34540.6919361775,383079.027792748
"miami_housing","uni_loo",9,115383.582049095,681259.242628638,18.2022453962771,256.761910066371,11.2351190614826,-4.01573392090682,-4.64791445051625,-3.28416707069587,-2.5760705699141,-5.11447208597366,11.2494322879608,-1993.29594003469,-68918.3214781588,2571.04624703027,-23652.927172568,-590.214189616945,37663.6729134069,18761.926617577,-14436.6788856963,-20265.0619760831,-9365.34163545397,-1533.37508587212,24961.5203785215,2572.46917663403,-178442.706288621,1075179.7625,-36891.988681769,394421.316944307
"miami_housing","uni_loo",10,92243.2857645034,667449.89805435,18.7202382500637,254.808977504149,11.0487374456096,-4.17966727757388,-4.89814683246312,-3.22464356806016,-2.67490767477726,-5.32020753436587,11.8976089888523,-1884.00585043423,-67475.068935495,2214.81248540594,-5885.87034126382,-21352.2163669683,33947.85655254,28486.0216101336,-14913.3660947072,5684.32382482275,-16314.0378491331,-13449.0715253997,11666.882656444,-9839.78857786906,-182753.073940568,1388906.17349432,-36530.1081544045,397276.406701137
"miami_housing","uni_loo",11,116456.886286783,703250.298950066,19.2239309561078,259.161422046962,11.4017552666753,-3.24470039069408,-4.93126751102617,-3.43853220617089,-2.72642462869325,-5.38331211300497,12.8068444405143,-2033.23701398517,-82969.4284789006,-2273.7106785445,-17057.8613703271,-15537.6087566594,44062.7030276042,28803.8829100557,-5861.50005591537,-8250.79094498213,-14544.3539727107,-1897.34119875385,14474.5776414505,-6633.68401216384,-185588.414226584,1545199.42647693,-39161.6086424954,410086.179137416
"miami_housing","uni_loo",12,103347.30427089,650193.530621267,19.9922886425924,253.730430476449,11.1241284865723,-3.70225933585085,-4.50222803893004,-3.07533729280555,-2.60201838602288,-5.17886408150317,11.7378522505017,-1739.91605736227,-65617.7819907049,-4846.80852142521,-10534.8286843979,-10707.4506216216,20329.4650264883,23019.3025242332,-14982.5887809583,6820.90856312203,-11037.4553298693,6016.42262520903,13327.617171515,-7976.0951509006,-180683.120744795,1373943.44647219,-27952.9791278875,376142.079468788
"miami_housing","uni_loo",13,90684.3677707205,662301.889912359,18.3910558877941,256.243757710125,11.314006795942,-4.83570668182142,-4.93325791662886,-3.28879095007058,-2.63844592500695,-5.27542806655379,11.3828468159552,-1707.87901682814,-51586.764734476,-6425.69648761259,-10337.3756840503,-2515.56976061017,32922.4108788415,30137.9585529167,-11516.1324748875,-9301.4763761754,-18974.1161130995,-11902.4237700036,17979.7284078383,-14918.8291467744,-177664.79872156,1486431.84923829,-38167.0375232338,391162.158891481
"miami_housing","uni_loo",14,123029.301770232,716584.586091495,19.7851672185986,262.730054156495,11.5211991614226,-3.50383787864254,-4.99202813778891,-3.44824407695985,-2.73064512425187,-5.29508233091871,12.9834538138841,-2056.79554375128,-69729.6575393775,-8100.9008539629,-7578.53389993327,3721.39724235735,32154.3778958349,32006.6397647239,-11263.6385475939,-16869.8103803025,-8851.01600533212,-13998.3956179926,15290.7451262079,-8110.38780893799,-184053.507988806,1337507.94222748,-33946.611091998,390132.341690846
