"dataset","method","split_id","climbRate","Sgz","p","q","curRoll","absRoll","diffClb","diffRollRate","diffDiffClb","SaTime1","SaTime2","SaTime3","SaTime4","diffSaTime1","diffSaTime2","diffSaTime3","diffSaTime4","Sa"
"elevator","uni_loo",1,2.90462289569113e-06,-5.1824899118399e-06,0.00180267869002811,0.0169792082971217,-0.000470109324264927,-0.000576682018199233,-5.88772295905455e-05,0.019202259384615,-0.000430257812643789,-10.4269569113504,-10.0791240006546,-10.0783616980897,-9.88463711184189,-3.08327658675182,53.6044830079538,-4.64262928578274,73.6068932272837,-9.8829068958888
"elevator","uni_loo",2,3.02388667782191e-06,-1.64601028815984e-06,0.00191689315861132,0.0182643698452729,-0.000501339771324883,-0.000610135463173362,-6.57758685696623e-05,0.0256042599815213,-0.000444236616001745,-10.284730988336,-9.96440193579506,-9.963641552218,-9.77864778337893,-4.44277920870694,53.8153771993252,-4.89304287420483,73.8177874186551,-9.77691798909534
"elevator","uni_loo",3,2.74821465552539e-06,-3.20513058468536e-06,0.00178333891228895,0.016852906656176,-0.0003862760611448,-0.000598039165320932,-5.8577763773466e-05,0.0208635020665937,-0.000322379519196514,-10.5023788142361,-10.1706562951424,-10.1706562951424,-9.9788099959587,-3.96978497061821,0,-3.73826469739814,73.6816100265125,-9.97792595400782
"elevator","uni_loo",4,3.04792503696798e-06,-2.75635899724227e-06,0.00183035266885621,0.0169097719115159,-0.000406988176367945,-0.000584010205333025,-6.16359455337997e-05,0.0162984166091367,-0.000418862745580348,-10.2710800969692,-9.90613737489403,-9.90613737489403,-9.70247284147105,-4.70717876514566,0,-7.70793009985769,73.9624005784527,-9.70161837441589
"elevator","uni_loo",5,2.98382570197024e-06,-7.26308539915005e-06,0.00154787594361933,0.017149075325182,-0.000417058945844786,-0.000590680061251604,-5.61041020819289e-05,0.0218041669847975,-0.000424885505882629,-10.2925918915871,-9.95427043075655,-9.95342399866175,-9.76141611409591,-4.37677371850643,100.563081521477,-5.41634952092889,112.131236442516,-9.75997194736151
"elevator","uni_loo",6,2.92574690659741e-06,-4.40607032358767e-06,0.00169637360455369,0.0169299920018631,-0.000455427830657796,-0.000594877455909612,-5.64988381652994e-05,0.018716757763968,-0.000470862180964226,-10.3435406074292,-10.0096101582386,-10.0095211126474,-9.83797572333909,-3.6491976781973,112.023981682333,-3.1394243134425,104.43523116232,-9.83649419742439
"elevator","uni_loo",7,3.07968421243339e-06,-3.049852948324e-06,0.00164727101644415,0.0169643830361698,-0.000469131790272874,-0.00057737735779696,-5.49277174964817e-05,0.0183756646548895,-0.000471517989196369,-10.099238718108,-9.79796171993348,-9.79795345586628,-9.62281986706099,-2.97360263203726,112.058929862618,-2.05770681395761,112.058929862618,-9.62232223974844
"elevator","uni_loo",8,2.99789551574844e-06,-1.17724545511016e-06,0.0014902364195502,0.016172347664019,-0.000477836153365361,-0.000566534629047942,-6.20633343625553e-05,0.0244091782752162,-0.000345981511075358,-10.446592958018,-10.0801330639768,-10.0792007911024,-9.88345994565393,-3.83582474999952,100.592006942101,-5.09018515485604,112.155338635816,-9.88190188099279
"elevator","uni_loo",9,3.02482357802676e-06,-1.03727185995468e-06,0.00191704596125495,0.017195450959449,-0.000393976538699388,-0.000591106253053805,-5.98124780169042e-05,0.0218602176515483,-0.000494758546884041,-10.210484577641,-9.90234978089665,-9.90156065917451,-9.72194549725892,-4.2084581721699,100.349033408861,-4.82700367612823,111.952880212099,-9.72055933750648
"elevator","uni_loo",10,3.24096494465851e-06,-2.33503794607837e-06,0.00163377218787114,0.0176104212347289,-0.000411146912953475,-0.000613804632659994,-5.80237612903112e-05,0.0175144289030622,-0.000506784818741712,-10.724528915815,-10.3995904578241,-10.3995904578241,-10.2176607921942,-3.2967560406026,0,-3.43395465198776,73.3731019522777,-10.2167617438918
