"dataset","method","split_id","age","Jitter...","Jitter.Abs.","Jitter.RAP","Jitter.PPQ5","Jitter.DDP","Shimmer","Shimmer.dB.","Shimmer.APQ3","Shimmer.APQ5","Shimmer.APQ11","Shimmer.DDA","NHR","HNR","RPDE","DFA","PPE","sex_1"
"parkinsons","uni_loo",1,0.361138976787986,130.934364449469,15030.195497022,196.582887212836,170.688954437061,65.5355087745278,29.6434965005681,3.67518928196554,44.1339321051433,42.0908321272566,53.0955394680621,14.711747150695,10.5459948788327,-0.37023437774868,14.9633986500765,-17.4391295462807,15.9007143072256,-1.57665938134591
"parkinsons","uni_loo",2,0.34396287748169,162.115547430755,21489.4808331884,262.913434052235,203.19811601064,87.6533850434915,39.437158236599,4.67766074573506,65.7316950275764,56.693409973204,66.9101418299969,21.9102236165792,11.5058528391052,-0.414513726231944,16.3111475717018,-14.3631027015059,18.5460844686045,-2.17375077849622
"parkinsons","uni_loo",3,0.373116143691865,94.3233527813937,15014.1135818143,129.813703569217,117.623749776558,43.3061275369444,28.2533905924172,3.42121401089346,45.6646761907892,39.853773235377,54.9125700805067,15.2219707551779,7.9184875772522,-0.376404735996024,17.6706367951338,-18.3745759031511,17.6197531745704,-1.94151411872042
"parkinsons","uni_loo",4,0.367815021861179,190.548004683743,25616.0899267442,303.595977587106,246.964995349399,101.220940704424,42.1817233469782,5.19968226273299,67.6946941488557,58.4152400134179,67.6124710835542,22.5646335894452,14.5125789886909,-0.467902795080925,18.322603250413,-18.4124235415242,20.4959826569011,-2.43016540297264
"parkinsons","uni_loo",5,0.355767170830709,125.876915758232,18769.4061356598,194.196071735685,161.431395595669,64.7420694047779,36.7274774948421,4.45100739422218,61.3165529936188,51.9716645333881,63.3622066205544,20.4376523486631,10.5901101036756,-0.411081383708091,15.9059535093269,-15.1694075857577,17.290524269075,-2.13140104208363
"parkinsons","uni_loo",6,0.400076480268036,151.681373310797,19256.2061378223,220.877831975592,194.057650181786,73.6383476298661,39.4921240523163,4.77706027009995,67.1291440948917,55.2078854105846,69.0976390442647,22.376727530706,10.6967908381076,-0.42252674313382,18.2069766898868,-19.022887215705,19.0214359359184,-2.34813277866199
"parkinsons","uni_loo",7,0.382451474342256,132.102153955768,20251.9945625128,212.066534674963,171.17223899856,70.6981001486249,42.6780372656935,5.0892405851635,76.1404388097853,60.3065584290696,68.3943113972852,25.3799222562546,9.50229960945931,-0.433857905817014,15.5927680692112,-14.404843652883,17.709344099257,-2.50632440874078
"parkinsons","uni_loo",8,0.375682782751826,120.425522924087,18393.4761656225,178.712601109335,154.273597887455,59.5680217496843,31.0626457508198,3.78609088956902,47.847710637164,43.4388247021374,58.3356508375476,15.9483873011652,9.58985467344461,-0.38024454259074,15.7538484883576,-16.5130414583699,18.5864539188944,-2.1006481531691
"parkinsons","uni_loo",9,0.38849170892418,151.733004272136,18667.3280700144,244.079326528406,186.758135768157,81.3727166207271,38.4662334271096,4.68455587339636,62.4081070228582,53.0912166027736,65.9459284191368,20.8032409515481,10.5451196456702,-0.378820498759621,14.8217161780937,-18.6561223931483,17.240363880708,-2.19079530498028
"parkinsons","uni_loo",10,0.378784473582424,136.779542541574,15030.2161005178,206.419752515314,180.067538594999,68.8275049409467,37.3239299698196,4.50009038667,61.422869331232,54.1141844746734,64.7950424427898,20.4737061742186,10.3351997746305,-0.375748355312692,15.2161324182739,-18.1665212275434,16.9564729536492,-1.72934359165425
"parkinsons","uni_loo",11,0.367851112345971,168.785966439986,20638.5114467462,273.540942692864,212.758953914826,91.1891265626511,36.9357517270848,4.51271333112663,57.6879527622015,51.0025204274751,63.8703857320041,19.2297026670485,11.9239956039111,-0.410044249569538,15.791546377115,-15.2970604645965,18.4722468682837,-2.14660804334858
"parkinsons","uni_loo",12,0.354440820167155,133.006304316322,21423.7114259463,200.005604074088,170.997249788498,66.7052952898429,37.6535090066046,4.48725902489763,62.9123382140787,53.2770626284108,64.8377583180419,20.9701687822462,9.52870734049933,-0.420221520313451,16.5240874132325,-13.7000892064128,20.4632953626422,-2.16181663665712
"parkinsons","uni_loo",13,0.400694541425723,166.428926783686,21449.2048611863,251.655789662453,229.704484489074,83.8687813478845,42.0742944177478,5.09248015803537,67.7443241739326,59.1734921440142,71.6541757436132,22.58259965628,12.6396388056847,-0.428885527297496,15.3648462269717,-16.6613656419917,19.5521276313003,-2.32505127844712
"parkinsons","uni_loo",14,0.382088798112725,135.491672200806,14933.5305362461,209.480793812985,174.943668247933,69.8466670601324,35.3127678411861,4.14628042254287,59.1005143231951,50.4277812887965,58.8888214234725,19.7007701464912,9.52361821809882,-0.366246544921866,14.0454253726105,-18.0708572208799,15.7617488471393,-1.91107842016895
"parkinsons","uni_loo",15,0.367025869152928,118.551885602896,18226.546296944,181.533508449525,165.069214707589,60.5272487482693,33.5639404889383,4.11331890357419,53.1019611355011,47.9016961770372,59.5741960066484,17.7005602679262,11.4324361595279,-0.396925574028614,15.0098089024007,-19.8330378977578,18.3193188612393,-2.3160022554308
"parkinsons","uni_loo",16,0.376831831122983,185.956524825572,23616.5763634212,291.94858710812,253.801325535348,97.3245722850717,38.2951242142092,4.66288480428142,58.0566055688614,52.9519047075146,66.4546862346854,19.3523557163644,13.9930634439818,-0.388877428157435,17.9150005493281,-19.2905426868584,18.3854973409636,-2.45032037906916
"parkinsons","uni_loo",17,0.343120655103017,143.777090181384,19800.8148621751,238.771869308223,178.685353804717,79.5980559316279,35.0857634782514,4.21792066199105,59.0775782615081,49.4353350480629,57.0935979990508,19.6926683193656,11.2199147312641,-0.36460275534248,14.9115424918146,-18.4990501652043,15.9011213726035,-1.92326612223859
"parkinsons","uni_loo",18,0.357266324286251,151.36445217888,19440.9915473207,235.321191488932,191.177799506732,78.4458069705923,39.2163363707423,4.69559239460297,67.8604298603153,56.0093172115891,69.9271739282659,22.6203296146099,10.3223515138494,-0.394804745680866,15.7075592992888,-15.818351397819,18.4298651607497,-2.11232415648122
"parkinsons","uni_loo",19,0.364319853940815,164.019681349422,20683.9118714492,258.603884798496,208.159123320545,86.2118099044925,39.2055773310435,4.71850022977577,63.5563199356398,52.2079580513247,68.9880039662535,21.1857540079097,11.4632150603896,-0.424161704094884,17.7340725066622,-16.3593644986149,19.1030127378038,-2.19715922034981
"parkinsons","uni_loo",20,0.390444918902365,104.169323182714,16619.9883927662,150.875564901201,131.772560966854,50.2746700055544,34.3760600417433,4.17576160765517,55.6203125292728,47.6600850986491,64.6642473638276,18.540523672174,8.7819101053367,-0.368120328835628,16.1458553170928,-16.6710997172167,17.6349444223982,-2.48531680025161
"parkinsons","uni_loo",21,0.387995289016286,133.428056985249,21267.6449521112,201.058451964481,175.996114109218,67.0420320465771,34.2620276165739,4.10352993894597,54.2910582490756,49.8720129798156,61.6718300302167,18.0977513431204,11.1903011687541,-0.403071541761139,15.9570211248646,-16.7615593372729,18.3066264455921,-2.092576667154
"parkinsons","uni_loo",22,0.371663408470537,99.8262549672764,15120.1388011839,152.416552486046,136.686860410703,50.8281033715674,34.8646699919314,4.18252138963043,58.9120908716485,48.6120331136292,60.1542076917788,19.6375220003182,8.85833633086829,-0.373443951637732,15.446506084794,-17.7654521978868,16.5178178733985,-2.52154420456435
"parkinsons","uni_loo",23,0.37008966687418,153.373017490955,21325.303701116,243.334743935072,197.65985499853,81.1353523820668,41.5406275811282,4.96434451476366,72.5023402241431,59.2796931298616,69.4551489071894,24.1677319092678,11.3440047443979,-0.422453589893137,16.3534462034887,-14.16814541337,19.3740733207527,-2.07450419045255
